,Message,Date,EventId,MatchedTemplate,ParsedValues
46,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=HD.07.07.07.LI,楞型=5BA,门幅=2150;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:01:16.586254,,,
59,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""LS2已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:01:17.586437,,,
69,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=HD.07.07.07.LI,楞型=5BA,门幅=2150;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:01:17.678958,,,
89,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""MS2已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:01:18.686854,,,
108,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=07/02,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:01:23.842399,,,
115,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=HD.07.02.07.LI,楞型=5BA,门幅=2150;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:01:23.867740,,,
120,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=07/02,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:01:23.940844,,,
132,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""LS1已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:01:24.893051,,,
219,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""面纸换材，实际材质-.07.02.07.LI,BrandLS0,brandMS1强伟,brandLS1龙源H,brandMS2,brandLS2宏河,brandMS3,brandLS3"",""ExceptionInfo"":"" ""}",2026-06-22 00:02:01.605563,,,
228,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""HandleChangePaperLS0--QdmCtrl.GetQdmDFCoef 无法创建，任务跳出，因为code=W7.07.02.07.LI,flute = 4BA"",""ExceptionInfo"":"" ""}",2026-06-22 00:02:02.317612,,,
306,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=-.07.02.07.LI,楞型=4BA,门幅=2050;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:05:26.603365,,,
318,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""LS2已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:05:27.613208,,,
348,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=-.07.02.07.LI,楞型=4BA,门幅=2050;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:05:35.717495,,,
359,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""MS2已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:05:36.708153,,,
378,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=07/03,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:05:41.165493,,,
394,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=07/03,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:05:44.923914,,,
404,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=07/03,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:05:45.273172,,,
417,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=07/03,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:05:49.029429,,,
485,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""LS1:其他接纸机MS1也快要到糊机了，本次实材处理任务终止"",""ExceptionInfo"":"" ""}",2026-06-22 00:06:34.222378,,,
536,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=W7.07.03.07.LI,楞型=5BA,门幅=2000;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:07:12.904191,,,
537,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""MS1已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:07:13.917351,,,
573,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=W7.07.03.07.LI,楞型=5BA,门幅=2000;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:10:55.487593,,,
585,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""MS2已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:10:56.501990,,,
620,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=W7.07.03.07.LI,楞型=5BA,门幅=2000;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:13:21.113641,,,
621,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""LS2已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:13:22.118664,,,
627,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""面纸换材，实际材质W7.07.03.07.LI,BrandLS0,brandMS1华天基,brandLS1鸿翔,brandMS2华天基,brandLS2宏河,brandMS3,brandLS3"",""ExceptionInfo"":"" ""}",2026-06-22 00:14:40.064270,,,
638,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""面纸换材，实际材质W7.07.03.07.LI,BrandLS0玖龙T,brandMS1华天基,brandLS1鸿翔,brandMS2华天基,brandLS2宏河,brandMS3,brandLS3"",""ExceptionInfo"":"" ""}",2026-06-22 00:14:48.111784,,,
679,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=W7.07.03.07.B3,楞型=5BA,门幅=2000;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:22:19.851540,,,
693,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""LS2已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:22:20.865424,,,
704,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=W7.07.C1.07.B3,楞型=5BA,门幅=2000;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:22:22.967276,,,
709,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=07/C1,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:22:23.004122,,,
717,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=W7.07.C1.04.B3,楞型=5BA,门幅=2000;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:22:23.041772,,,
733,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=07/C1,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:22:23.231619,,,
751,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""LS1已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:22:23.975852,,,
752,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""MS2已经处理过包角和糊间隙了,糊机实材属性清空，后续糊机理论换材就不会有影响"",""ExceptionInfo"":"" ""}",2026-06-22 00:22:24.054780,,,
762,"{""Module"":""换材判定模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""糊机实材=W7.09.03.07.B3,楞型=5BA,门幅=2000;发送命令给糊机包角赋值"",""ExceptionInfo"":"" ""}",2026-06-22 00:22:27.304839,,,
767,"{""Module"":""糊间隙控制模块"",""Ip"":"" "",""Host"":"" "",""UserName"":"" "",""Content"":""进入HandleSF1GlueMsg，本次为正常换材，材质=09/C1,楞型=B"",""ExceptionInfo"":"" ""}",2026-06-22 00:22:27.337616,,,
