Message,Date
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-04 15:57:51.622383
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-04 15:58:36.666081
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-04 15:58:51.717786
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-04 15:58:51.978337
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\nMS2横切换材了。上笔材质=7，门幅=2800；本批材质=8，门幅=2800\r\nMS2材质校准:当前正在用的材质=7，门幅=2800，校准后的材质=8，门幅=2800\r\n立刻给各部位赋值\r\n"",""ExceptionInfo"":""""}",2026-06-04 15:58:52.020663
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\n"",""ExceptionInfo"":""""}",2026-06-04 15:59:08.217844
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 构造通知消息报文完成，准备发送......"",""ExceptionInfo"":""""}",2026-06-04 15:59:22.304665
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""HandleFirstAll 发送完毕"",""ExceptionInfo"":""""}",2026-06-04 15:59:22.776689
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""横切换单或者强换，触发判定是否横切换材\r\nLS0横切换材了。上笔材质=N，门幅=2800；本批材质=K，门幅=2800\r\nLS0材质校准：当前正在用的材质=N，门幅=2800，校准后的材质=K，门幅=2800\r\n立刻给各部位赋值\r\n"",""ExceptionInfo"":""""}",2026-06-04 15:59:22.817453
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=76.1600,GuRange1=1,GuRange2=0,GuRange3=1"",""ExceptionInfo"":""""}",2026-06-04 15:59:23.328401
"{""Module"":""换材判定模块"",""Ip"":"""",""Host"":"""",""UserName"":"""",""Content"":""DFChangePaper--dfRemain=72.9800,GuRange1=1,GuRange2=0,GuRange3=2"",""ExceptionInfo"":""""}",2026-06-04 15:59:23.858981
